id,label,modelId:id,groupId:id,permRead,permWrite,permCreate,permUnlink
access_event_type_registration,event.type.registration,model_eventType,event.groupEventRegistrationDesk,1,0,0,0
access_event_type_manager,event.type.manager,model_eventType,event.groupEventManager,1,1,1,1
access_event_type_ticket_registration,event.type.ticket.registration,model_eventTypeTicket,event.groupEventRegistrationDesk,1,0,0,0
access_event_type_ticket_manager,event.type.ticket.manager,model_eventTypeTicket,event.groupEventManager,1,1,1,1
access_event_event_registration,event.event.registration,model_eventEvent,event.groupEventRegistrationDesk,1,0,0,0
access_event_event_user,event.event.user,model_eventEvent,event.groupEventUser,1,1,1,0
access_event_event_manager,event.event.manager,model_eventEvent,event.groupEventManager,1,1,1,1
access_event_event_ticket,event.event.ticket,model_eventEventTicket,,0,0,0,0
access_event_event_ticket_registration,event.event.ticket.registration,model_eventEventTicket,event.groupEventRegistrationDesk,1,0,0,0
access_event_event_ticket_user,event.event.ticket.user,model_eventEventTicket,event.groupEventUser,1,1,1,1
access_event_registration,event.registration,model_eventRegistration,,0,0,0,0
access_event_registration_registration,event.registration.registration,model_eventRegistration,event.groupEventRegistrationDesk,1,1,1,0
access_event_registration_manager,event.registration.manager,model_eventRegistration,event.groupEventManager,1,1,1,1
access_event_mail_registration,event.mail.registration,model_eventMail,event.groupEventRegistrationDesk,1,0,0,0
access_event_mail_user,event.mail.user,model_eventMail,event.groupEventUser,1,1,1,1
access_event_mail_registration_registration,event.mail.registration.registration,model_eventMailRegistration,event.groupEventRegistrationDesk,1,0,0,0
access_event_mail_registration_manager,event.mail.registration.manager,model_eventMailRegistration,event.groupEventManager,1,1,1,1
access_event_type_mail_registration,event.type.mail.registration,model_eventTypeMail,event.groupEventRegistrationDesk,1,0,0,0
access_event_type_mail_manager,event.type.mail.manager,model_eventTypeMail,event.groupEventManager,1,1,1,1
access_event_stage_registration,event.stage.registration,model_eventStage,event.groupEventRegistrationDesk,1,0,0,0
access_event_stage_manager,event.stage.manager,model_eventStage,event.groupEventManager,1,1,1,1
access_event_tag_category_registration,event.tag.category.registration,model_eventTagCategory,event.groupEventRegistrationDesk,1,0,0,0
access_event_tag_category_user,event.tag.category.user,model_eventTagCategory,event.groupEventUser,1,1,1,1
access_event_tag,event.tag,model_eventTag,,0,0,0,0
access_event_tag_registration,event.tag.user,model_eventTag,event.groupEventRegistrationDesk,1,0,0,0
access_event_tag_user,event.tag.user,model_eventTag,event.groupEventUser,1,1,1,0
access_event_tag_manager,event.tag.manager,model_eventTag,event.groupEventManager,1,1,1,1
